What is a novel coronavirus?,"A novel coronavirus is a new coronavirus that has not been previously identi􀃒ed. The virus causing coronavirus disease
2019 (COVID-19), is not the same as the coronaviruses that commonly circulate among humans and cause mild illness,
like the common cold."
"Why is the disease being called coronavirus disease 2019, COVID-19?","The new name of this disease is coronavirus disease 2019,
abbreviated as COVID-19. In COVID-19, ‘CO’ stands for ‘corona,’ ‘VI’ for ‘virus,’ and ‘D’ for disease. Formerly, this disease
was referred to as “2019 novel coronavirus” or “2019-nCoV”."
What is the source of the virus COVID-19?,"COVID-19 is caused by a coronavirus called SARS-CoV-2. Coronaviruses are a large family of viruses that are common in
people and may di􀃗erent species of animals, including camels, cattle, cats, and bats. Rarely, animal coronaviruses can
infect people and then spread between people. This occurred with MERS-CoV and SARS-CoV, and now with the virus that
causes COVID-19. The SARS-CoV-2 virus is a betacoronavirus, like MERS-CoV and SARS-CoV. All three of these viruses have
their origins in bats. The sequences from U.S. patients are similar to the one that China initially posted, suggesting a likely
single, recent emergence of this virus from an animal reservoir. However, the exact source of this virus is unknown."
How does the virus spread?,"The virus that causes COVID-19 is thought to spread mainly from person to person, mainly through respiratory droplets
produced when an infected person coughs or sneezes. These droplets can land in the mouths or noses of people who are nearby or possibly be inhaled into the lungs. Spread is more likely when people are in close contact with one another
(within about 6 feet)."
Can someone who has had COVID-19 spread the illness to others?,"The virus that causes COVID-19 is spreading from person-to-person. People are thought to be most contagious when
they are symptomatic (the sickest). That is why CDC recommends that these patients be isolated either in the hospital or
at home (depending on how sick they are) until they are better and no longer pose a risk of infecting others. More
recently the virus has also been detected in asymptomatic persons."
Can someone who has been quarantined for COVID-19 spread the illness to others?,"Quarantine means separating a person or group of people who have been exposed to a contagious disease but have not
developed illness (symptoms) from others who have not been exposed, in order to prevent the possible spread of that
disease. Quarantine is usually established for the incubation period of the communicable disease, which is the span of
time during which people have developed illness after exposure. For COVID-19, the period of quarantine is 14 days from
the last date of exposure because the incubation period for this virus is 2 to 14 days. Someone who has been released
from COVID-19 quarantine is not considered a risk for spreading the virus to others because they have not developed
illness during the incubation period."
"Can the virus that causes COVID-19 be spread through food, including restaurant take out, refrigerated or frozen packaged food?","Currently, there is
no evidence to support transmission of COVID-19 associated with food. Before preparing or eating food it is important to
always wash your hands with soap and water for at least 20 seconds for general food safety. It may be possible that a person can get COVID-19 by touching a surface or object, like a packaging container, that has the
virus on it and then touching their own mouth, nose, or possibly their eyes, but this is not thought to be the main way the
virus spreads.
In general, because of poor survivability of these coronaviruses on surfaces, there is likely very low risk of spread from
food products or packaging."
Can I get sick with COVID-19 if it is on food?,"Based on information about this novel coronavirus thus far, it seems unlikely that COVID-19 can be transmitted through
food – additional investigation is needed."
Will warm weather stop the outbreak of COVID-19?,"It is not yet known whether weather and temperature a􀃗ect the spread of COVID-19. Some other viruses, like those that
cause the common cold and 􀃓u, spread more during cold weather months but that does not mean it is impossible to
become sick with these viruses during other months. There is much more to learn about the transmissibility, severity,
and other features associated with COVID-19 and investigations are ongoing."
What is community spread?,"Community spread means people have been infected with the virus in an area, including some who are not sure how or
where they became infected."
